,name,types,weight,hp,atk,def,spatk,spdef,speed
0,Urshifu-Rapid-Strike,fighting/water,1050,100,130,100,63,60,97
1,Incineroar,fire/dark,830,95,115,90,80,90,60
2,Calyrex-Ice,psychic/ice,8091,100,165,150,85,130,50
3,Raging Bolt,electric/dragon,4800,125,73,91,137,89,75
4,Ogerpon-Hearthflame,grass/fire,398,80,120,84,60,96,110
5,Landorus,ground/flying,680,89,125,90,115,80,101
6,Miraidon,electric/dragon,2400,100,85,100,135,115,135
7,Iron Hands,fighting/electric,3807,154,140,108,50,68,50
8,Rillaboom,grass,900,100,125,90,60,70,85
9,Amoonguss,grass/poison,105,114,85,70,85,80,30
10,Farigiraf,normal/psychic,1600,120,90,70,110,70,60
11,Whimsicott,grass/fairy,66,60,67,85,77,75,116
12,Chien-Pao,dark/ice,1522,80,120,80,90,65,135
13,Indeedee-F,psychic/normal,280,70,55,65,95,105,85
14,Calyrex-Shadow,psychic/ghost,536,100,85,80,165,100,150
15,Flutter Mane,ghost/fairy,40,55,55,55,135,135,135
16,Ogerpon-Cornerstone,grass/rock,398,80,120,84,60,96,110
17,Tornadus,flying,630,79,115,70,125,80,111
18,Grimmsnarl,dark/fairy,610,95,120,65,95,75,60
19,Urshifu,fighting/dark,1050,100,130,100,63,60,97
20,Smeargle,normal,580,55,20,35,20,45,75
21,Chi-Yu,dark/fire,49,55,80,80,135,120,100
22,Kyogre,water,3520,100,100,90,150,140,90
23,Dragonite,dragon/flying,2100,91,134,95,100,100,80
24,Dondozo,water,2200,150,100,115,65,65,35
25,Terapagos,normal,65,90,65,85,65,85,60
26,Tatsugiri,dragon/water,80,68,50,60,120,95,82
27,Ting-Lu,dark/ground,6997,155,110,125,55,80,45
28,Ursaluna-Bloodmoon,ground/normal,2900,113,70,120,135,65,52
29,Roaring Moon,dragon/dark,3800,105,139,71,55,101,119
30,Pelipper,water/flying,280,60,50,100,95,70,65
31,Zamazenta-Crowned,fighting/steel,7850,92,120,140,80,140,128
32,Ogerpon-Wellspring,grass/water,398,80,120,84,60,96,110
33,Torkoal,fire,804,70,85,140,85,70,20
34,Koraidon,fighting/dragon,3030,100,135,115,85,100,135
35,Iron Valiant,fairy/fighting,350,74,130,90,120,60,116
36,Clefairy,fairy,75,70,45,48,60,65,35
37,Weezing-Galar,poison/fairy,160,65,90,120,85,70,60
38,Volcarona,bug/fire,460,85,60,65,135,105,100
39,Scream Tail,fairy/psychic,80,115,65,99,65,115,111
40,Glimmora,rock/poison,450,83,55,90,130,81,86
41,Ditto,normal,40,48,48,48,48,48,48
42,Ursaluna,ground/normal,2900,130,140,105,45,80,50
43,Lunala,psychic/ghost,1200,137,113,89,137,107,97
44,Heatran,fire/steel,4300,91,90,106,130,106,77
45,Groudon,ground,9500,100,150,140,100,90,90
46,Gholdengo,steel/ghost,300,87,60,95,133,91,84
47,Sinistcha,grass/ghost,22,71,60,106,121,80,70
48,Archaludon,steel/dragon,600,90,105,130,125,65,85
49,Entei,fire,1980,115,115,85,90,75,100
50,Cresselia,psychic,856,120,70,110,75,120,85
51,Tsareena,grass,214,72,120,98,50,98,72
52,Zacian-Crowned,fairy/steel,3550,92,150,115,80,115,148
53,Iron Bundle,ice/water,110,56,80,114,124,60,136
54,Mienshao,fighting,355,65,125,60,95,60,105
55,Iron Jugulis,dark/flying,1110,94,80,86,122,80,108
56,Annihilape,fighting/ghost,560,110,115,80,50,90,90
57,Sableye,dark/ghost,110,50,75,75,65,65,50
58,Maushold,normal,28,74,75,70,65,75,111
59,Hatterene,psychic/fairy,51,57,90,95,136,103,29
60,Regieleki,electric,1450,80,100,50,100,50,200
61,Tinkaton,fairy/steel,1128,85,75,77,70,105,94
62,Gallade,psychic/fighting,520,68,125,65,65,115,80
63,Ogerpon,grass,398,80,120,84,60,96,110
64,Walking Wake,water/dragon,2800,99,83,91,125,83,109
65,Regidrago,dragon,2000,200,100,50,100,50,80
66,Eternatus,poison/dragon,9500,140,85,95,145,95,130
67,Iron Treads,ground/steel,2400,90,112,120,72,70,106
68,Sneasler,fighting/poison,430,80,130,60,40,80,120
69,Gothitelle,psychic,440,70,55,95,95,110,65
70,Wo-Chien,dark/grass,742,85,85,100,95,135,70
71,Ninetales-Alola,ice/fairy,199,73,67,75,81,100,109
72,Brute Bonnet,grass/dark,210,111,127,99,79,99,55
73,Landorus-Therian,ground/flying,680,89,145,90,105,80,91
74,Basculegion,water/ghost,1100,120,112,65,80,75,78
75,Kingambit,dark/steel,1200,100,135,120,60,85,50
76,Moltres-Galar,dark/flying,660,90,85,90,100,125,90
77,Gouging Fire,fire/dragon,5900,105,115,121,65,93,91
78,Weezing,poison,95,65,90,120,85,70,60
79,Oranguru,normal/psychic,760,90,60,80,90,110,60
80,Moltres,fire/flying,600,90,100,90,125,85,90
81,Iron Crown,steel/psychic,1560,90,72,100,122,108,98
82,Giratina-Origin,ghost/dragon,6500,150,120,100,120,100,90
83,Indeedee,psychic/normal,280,60,65,55,105,95,95
84,Regigigas,normal,4200,110,160,110,80,110,100
85,Muk-Alola,poison/dark,520,105,105,75,65,100,50
86,Flamigo,flying/fighting,370,82,115,74,75,64,90
87,Okidogi,poison/fighting,922,88,128,115,58,86,80
88,Scizor,bug/steel,1180,70,130,100,55,80,65
89,Jumpluff,grass/flying,30,75,55,70,55,95,110
90,Comfey,fairy,3,51,52,90,82,110,100
91,Venusaur,grass/poison,1000,80,82,83,100,100,80
92,Iron Leaves,grass/psychic,1250,90,130,88,70,108,104
93,Armarouge,fire/psychic,850,85,60,100,125,80,75
94,Lilligant-Hisui,grass/fighting,192,70,105,75,50,75,105
95,Klefki,steel/fairy,30,57,80,91,80,87,75
96,Gastrodon,water/ground,299,111,83,68,92,82,39
97,Porygon2,normal,325,85,80,90,105,95,60
98,Typhlosion-Hisui,fire/ghost,698,73,84,78,119,85,95
99,Talonflame,fire/flying,245,78,81,71,74,69,126
100,Umbreon,dark,270,95,65,110,60,130,65
101,Araquanid,water/bug,820,68,70,92,50,132,42
102,Shiftry,grass/dark,596,90,100,60,90,60,80
103,Bruxish,water/psychic,190,68,105,70,70,70,92
104,Kyurem-White,dragon/ice,3250,125,120,90,170,100,95
105,Snorlax,normal,4600,160,110,65,65,110,30
106,Great Tusk,ground/fighting,3200,115,131,131,53,53,87
107,Thundurus,electric/flying,610,79,115,70,125,80,111
108,Tyranitar,rock/dark,2020,100,134,110,95,100,61
109,Raichu,electric,300,60,90,55,90,80,110
110,Fletchling,normal/flying,17,45,50,43,40,38,62
111,Necrozma-Dawn-Wings,psychic/ghost,3500,97,113,109,157,127,77
112,Rayquaza,dragon/flying,2065,105,150,90,150,90,95
113,Sylveon,fairy,235,95,65,65,110,130,60
114,Ludicolo,water/grass,550,80,70,70,90,100,70
115,Zoroark-Hisui,normal/ghost,730,55,100,60,125,60,110
116,Iron Boulder,rock/psychic,1625,90,120,80,68,108,124
117,Garganacl,rock,2400,100,100,130,45,90,35
118,Lugia,psychic/flying,2160,106,90,130,90,154,110
119,Alcremie,fairy,5,65,60,75,110,121,64
120,Dragapult,dragon/ghost,500,88,120,75,100,75,142
121,Goodra-Hisui,steel/dragon,3341,80,100,100,110,150,60
122,Primarina,water/fairy,440,80,74,74,126,116,60
123,Latios,dragon/psychic,600,80,90,80,130,110,110
124,Baxcalibur,dragon/ice,2100,115,145,92,75,86,87
125,Bronzong,steel/psychic,1870,67,89,116,79,116,33
126,Zapdos-Galar,fighting/flying,582,90,125,90,85,90,100
127,Thundurus-Therian,electric/flying,610,79,105,70,145,80,101
128,Magmar,fire,445,65,95,57,100,85,93
129,Garchomp,dragon/ground,950,108,130,95,80,85,102
130,Ceruledge,fire/ghost,620,75,125,80,60,100,85
131,Ho-Oh,fire/flying,1990,106,130,90,110,154,90
132,Arcanine-Hisui,fire/rock,1680,95,115,80,95,80,90
133,Suicune,water,1870,100,75,115,90,115,85
134,Hydrapple,grass/dragon,930,106,80,110,120,80,44
135,Breloom,grass/fighting,392,60,130,80,60,60,70
136,Mimikyu,ghost/fairy,7,55,90,80,50,105,96
137,Hitmontop,fighting,480,50,95,95,35,110,70
138,Metagross,steel/psychic,5500,80,135,130,95,90,70
139,Milotic,water,1620,95,60,79,100,125,81
140,Dialga-Origin,steel/dragon,8487,100,100,120,150,120,90
141,Toedscruel,ground/grass,580,80,70,65,80,120,100
142,Mewtwo,psychic,1220,106,110,90,154,90,130
143,Mamoswine,ice/ground,2910,110,130,80,70,60,80
144,Dusclops,ghost,306,40,70,130,60,130,25
145,Reshiram,dragon/fire,3300,100,120,100,150,120,90
146,Terrakion,rock/fighting,2600,91,129,90,72,90,108
147,Dialga,steel/dragon,6830,100,120,120,150,100,90
148,Rhyperior,ground/rock,2828,115,140,130,55,55,40
149,Skeledirge,fire/ghost,3265,104,75,100,110,75,66
150,Conkeldurr,fighting,870,105,140,95,55,65,45
151,Electabuzz,electric,300,65,83,57,95,85,105
152,Slowking-Galar,poison/psychic,795,95,65,80,110,110,30
153,Murkrow,dark/flying,21,60,85,42,85,42,91
154,Fletchinder,fire/flying,160,62,73,55,56,52,84
155,Scovillain,grass/fire,150,65,108,65,108,65,75
156,Toxapex,poison/water,145,50,63,152,53,142,35
157,Bastiodon,rock/steel,1495,60,52,168,47,138,30
158,Necrozma-Dusk-Mane,psychic/steel,4600,97,157,127,113,109,77
159,Drifblim,ghost/flying,150,150,80,44,90,54,80
160,Iron Moth,fire/poison,360,80,70,60,140,110,110
161,Enamorus-Therian,fairy/flying,480,74,115,110,135,100,46
162,Kyurem-Black,dragon/ice,3250,125,170,100,120,90,95
163,Excadrill,ground/steel,404,110,135,60,50,65,88
164,Pawmot,electric/fighting,410,70,115,70,70,60,105
165,Rotom-Wash,electric/water,3,50,65,107,105,107,86
166,Sandy Shocks,electric/ground,600,85,81,97,121,85,101
167,Slowking,water/psychic,795,95,75,80,100,110,30
168,Arcanine,fire,1550,90,110,80,100,80,95
169,Slither Wing,bug/fighting,920,85,135,79,85,105,81
170,Charizard,fire/flying,905,78,84,78,109,85,100
171,Qwilfish,water/poison,39,65,95,85,55,55,85
172,Chesnaught,grass/fighting,900,88,107,122,74,75,64
173,Pikachu,electric,60,35,55,40,50,50,90
174,Exeggutor,grass/psychic,1200,95,95,85,125,75,55
175,Clodsire,poison/ground,2230,130,75,60,45,100,20
176,Giratina,ghost/dragon,7500,150,100,120,100,120,90
177,Jigglypuff,normal/fairy,55,115,45,20,45,25,20
178,Trapinch,ground,150,45,100,45,45,45,10
179,Chandelure,ghost/fire,343,60,55,90,145,90,80
180,Articuno,ice/flying,554,90,85,100,95,125,85
181,Corviknight,flying/steel,750,98,87,105,53,85,67
182,Overqwil,dark/poison,605,85,115,95,65,65,85
183,Illumise,bug,177,65,47,75,73,85,85
184,Gengar,ghost/poison,405,60,65,60,130,75,110
185,Lapras,water/ice,2200,130,85,80,85,95,60
186,Yanmega,bug/flying,515,86,76,86,116,56,95
187,Politoed,water,339,90,75,75,90,100,70
188,Abomasnow,grass/ice,1355,90,92,75,92,85,60
189,Zapdos,electric/flying,526,90,90,85,125,90,100
190,Rampardos,rock,1025,97,165,60,65,50,58
191,Azumarill,water/fairy,285,100,50,80,60,80,50
192,Meowscarada,grass/dark,312,76,110,70,81,70,123
193,Articuno-Galar,psychic/flying,509,90,85,85,125,100,95
194,Palkia-Origin,water/dragon,6590,90,100,100,150,120,120
195,Kleavor,bug/rock,890,70,135,95,45,70,85
196,Gyarados,water/flying,2350,95,125,79,60,100,81
197,Toxicroak,poison/fighting,444,83,106,65,86,65,85
198,Clefable,fairy,400,95,70,73,95,90,60
199,Solgaleo,psychic/steel,2300,137,137,107,113,89,97
200,Volbeat,bug,177,65,73,75,47,85,85
201,Raichu-Alola,electric/psychic,210,60,85,50,95,85,110
202,palafin-zero,water,602,100,70,72,53,62,100
203,palafin-hero,water,974,100,160,97,106,87,100
204,Glastrier,ice,8000,100,145,130,65,110,30
205,Fezandipiti,poison/fairy,301,88,91,82,70,125,99
206,Cyclizar,dragon/normal,630,70,95,65,85,65,121
207,Torterra,grass/ground,3100,95,109,105,75,85,56
208,Avalugg,ice,5050,95,117,184,44,46,28
209,Meowstic,psychic,85,74,48,76,83,81,104
210,Zekrom,dragon/electric,3450,100,150,120,120,100,90
211,Medicham,fighting/psychic,315,60,60,75,60,75,80
212,Hariyama,fighting,2538,144,120,60,40,60,50
213,Registeel,steel,2050,80,75,150,75,150,50
214,Rhydon,ground/rock,1200,105,130,120,45,45,40
215,Kilowattrel,electric/flying,386,70,70,60,105,60,125
216,Palkia,water/dragon,3360,90,120,100,150,120,100
217,Pachirisu,electric,39,60,45,70,45,90,95
218,Frosmoth,ice/bug,420,70,65,60,125,90,65
219,Forretress,bug/steel,1258,75,90,140,60,60,40
220,Infernape,fire/fighting,550,76,104,71,104,71,108
221,Orthworm,steel,3100,70,85,145,60,55,65
222,Golurk,ground/ghost,3300,89,124,80,55,80,55
223,Feraligatr,water,888,85,105,100,79,83,78
224,Scrafty,dark/fighting,300,65,90,115,45,115,58
225,Cobalion,steel/fighting,2500,91,90,129,90,72,108
226,Decidueye-Hisui,grass/fighting,370,88,112,80,95,95,60
227,Latias,dragon/psychic,400,80,80,90,110,130,110
228,Altaria,dragon/flying,206,75,70,90,70,105,80
229,Joltik,bug/electric,6,50,47,50,57,50,65
230,Swampert,water/ground,819,100,110,90,85,90,60
231,Kingdra,water/dragon,1520,75,95,95,95,95,85
232,Uxie,psychic,3,75,75,130,75,130,95
233,Grafaiai,poison/normal,272,63,95,65,80,72,110
234,Serperior,grass,630,75,75,95,75,95,113
235,Sceptile,grass,522,70,85,65,105,85,120
236,Malamar,dark/psychic,470,86,92,88,68,75,73
237,Lucario,fighting/steel,540,70,110,70,115,70,90
238,Spectrier,ghost,445,100,65,60,145,80,130
239,Salamence,dragon/flying,1026,95,135,80,110,80,100
240,Sneasel-Hisui,fighting/poison,270,55,95,55,35,75,115
241,Munkidori,poison/psychic,122,88,75,66,130,90,106
242,Leafeon,grass,255,65,110,130,60,65,95
243,Crabominable,fighting/ice,1800,97,132,77,62,67,43
244,Gliscor,ground/flying,425,75,95,125,45,75,95
245,Blaziken,fire/fighting,520,80,120,70,110,70,80
246,Sentret,normal,60,35,46,34,35,45,20
247,Kommo-o,dragon/fighting,782,75,110,125,100,105,85
248,Hypno,psychic,756,85,73,70,73,115,67
249,Dudunsparce,normal,392,125,100,80,85,75,55
250,Empoleon,water/steel,845,84,86,88,111,101,60
251,Ambipom,normal,203,75,100,66,60,66,115
252,Tropius,grass/flying,1000,99,68,83,72,87,51
253,Luvdisc,water,87,43,30,55,40,65,97
254,Hydreigon,dark/dragon,1600,92,105,90,125,90,98
255,Toxtricity,electric/poison,400,75,98,70,114,70,75
256,Noivern,flying/dragon,850,85,70,80,97,80,123
257,Quaquaval,water/fighting,619,85,120,80,85,75,85
258,Glaceon,ice,259,65,60,110,130,95,65
259,Enamorus,fairy/flying,480,74,115,70,135,80,106
260,Espeon,psychic,265,65,65,60,130,95,110
261,Perrserker,steel,280,70,110,100,50,60,50
262,Arboliva,grass/normal,482,78,69,90,125,109,39
263,Golduck,water,766,80,82,78,95,80,85
264,Greninja,water/dark,400,72,95,67,103,71,122
265,Exeggutor-Alola,grass/dragon,4156,95,105,85,125,75,45
266,Regice,ice,1750,80,50,100,100,200,50
267,Vivillon,bug/flying,170,80,52,50,90,50,89
268,Blastoise,water,855,79,83,100,85,105,78
269,Gardevoir,psychic/fairy,484,68,65,65,125,115,80
270,Vileplume,grass/poison,186,75,80,85,110,90,50
271,Mismagius,ghost,44,60,60,60,105,105,105
272,Sunflora,grass,85,75,75,55,105,85,30
273,Lycanroc,rock,250,75,115,65,55,65,112
274,Lilligant,grass,163,70,60,75,110,75,90
275,Blissey,normal,468,255,10,10,75,135,55
276,Rotom-Heat,electric/fire,3,50,65,107,105,107,86
277,Golem-Alola,rock/electric,3160,80,120,130,55,65,45
278,Hippowdon,ground,3000,108,112,118,68,72,47
279,Brambleghast,grass/ghost,60,55,115,70,80,70,90
280,Vaporeon,water,290,130,65,60,110,95,65
281,Cloyster,water/ice,1325,50,95,180,85,45,70
282,Cetitan,ice,7000,170,113,65,45,55,73
283,Hitmonchan,fighting,502,50,105,79,35,110,76
284,Tauros-Paldea-Aqua,fighting/water,1100,75,110,105,30,70,100
285,Makuhita,fighting,864,72,60,30,20,30,25
286,Typhlosion,fire,795,78,84,78,109,85,100
287,Riolu,fighting,202,40,70,40,35,40,60
288,Ninetales,fire,199,73,76,75,81,100,100
289,Koffing,poison,10,40,65,95,60,45,35
290,Iron Thorns,rock/electric,3030,100,134,110,70,84,72
