,name,types,weight,hp,atk,def,spa,spd,spe
0,Calyrex-Shadow,psychic/ghost,536,100,85,80,165,100,150
1,Urshifu-Rapid-Strike,fighting/water,1050,100,130,100,63,60,97
2,Rillaboom,grass,900,100,125,90,60,70,85
3,Incineroar,fire/dark,830,95,115,90,80,90,60
4,Zamazenta-Crowned,fighting/steel,7850,92,120,140,80,140,128
5,Miraidon,electric/dragon,2400,100,85,100,135,115,135
6,Tornadus,flying,630,79,115,70,125,80,111
7,Raging Bolt,electric/dragon,4800,125,73,91,137,89,75
8,Kyogre,water,3520,100,100,90,150,140,90
9,Calyrex-Ice,psychic/ice,8091,100,165,150,85,130,50
10,Chien-Pao,dark/ice,1522,80,120,80,90,65,135
11,Koraidon,fighting/dragon,3030,100,135,115,85,100,135
12,Iron Hands,fighting/electric,3807,154,140,108,50,68,50
13,Flutter Mane,ghost/fairy,40,55,55,55,135,135,135
14,Amoonguss,grass/poison,105,114,85,70,85,80,30
15,Lunala,psychic/ghost,1200,137,113,89,137,107,97
16,Whimsicott,grass/fairy,66,60,67,85,77,75,116
17,Grimmsnarl,dark/fairy,610,95,120,65,95,75,60
18,Zacian-Crowned,fairy/steel,3550,92,150,115,80,115,148
19,Chi-Yu,dark/fire,49,55,80,80,135,120,100
20,Ogerpon-Hearthflame,grass/fire,398,80,120,84,60,96,110
21,Farigiraf,normal/psychic,1600,120,90,70,110,70,60
22,Ogerpon-Cornerstone,grass/rock,398,80,120,84,60,96,110
23,Indeedee-F,psychic/normal,280,70,55,65,95,105,85
24,Terapagos,normal,65,90,65,85,65,85,60
25,Landorus,ground/flying,680,89,125,90,115,80,101
26,Urshifu,fighting/dark,1050,100,130,100,63,60,97
27,Brute Bonnet,grass/dark,210,111,127,99,79,99,55
28,Ditto,normal,40,48,48,48,48,48,48
29,Groudon,ground,9500,100,150,140,100,90,90
30,Volcarona,bug/fire,460,85,60,65,135,105,100
31,Smeargle,normal,580,55,20,35,20,45,75
32,Ursaluna,ground/normal,2900,130,140,105,45,80,50
33,Dondozo,water,2200,150,100,115,65,65,35
34,Ho-Oh,fire/flying,1990,106,130,90,110,154,90
35,Pelipper,water/flying,280,60,50,100,95,70,65
36,Ogerpon-Wellspring,grass/water,398,80,120,84,60,96,110
37,Tatsugiri,dragon/water,80,68,50,60,120,95,82
38,Roaring Moon,dragon/dark,3800,105,139,71,55,101,119
39,Ting-Lu,dark/ground,6997,155,110,125,55,80,45
40,Iron Jugulis,dark/flying,1110,94,80,86,122,80,108
41,Iron Valiant,fairy/fighting,350,74,130,90,120,60,116
42,Clefairy,fairy,75,70,45,48,60,65,35
43,Dragonite,dragon/flying,2100,91,134,95,100,100,80
44,Sneasler,fighting/poison,430,80,130,60,40,80,120
45,Weezing-Galar,poison/fairy,160,65,90,120,85,70,60
46,Ursaluna-Bloodmoon,ground/normal,2900,113,70,120,135,65,52
47,Iron Treads,ground/steel,2400,90,112,120,72,70,106
48,Torkoal,fire,804,70,85,140,85,70,20
49,Walking Wake,water/dragon,2800,99,83,91,125,83,109
50,Maushold,normal,28,74,75,70,65,75,111
51,Scream Tail,fairy/psychic,80,115,65,99,65,115,111
52,Sableye,dark/ghost,110,50,75,75,65,65,50
53,Sinistcha,grass/ghost,22,71,60,106,121,80,70
54,Iron Bundle,ice/water,110,56,80,114,124,60,136
55,Annihilape,fighting/ghost,560,110,115,80,50,90,90
56,Eternatus,poison/dragon,9500,140,85,95,145,95,130
57,Entei,fire,1980,115,115,85,90,75,100
58,Rayquaza,dragon/flying,2065,105,150,90,150,90,95
59,Glimmora,rock/poison,450,83,55,90,130,81,86
60,Thundurus,electric/flying,610,79,115,70,125,80,111
61,Gastrodon,water/ground,299,111,83,68,92,82,39
62,Necrozma-Dawn-Wings,psychic/ghost,3500,97,113,109,157,127,77
63,Landorus-Therian,ground/flying,680,89,145,90,105,80,91
64,Regieleki,electric,1450,80,100,50,100,50,200
65,Rhyperior,ground/rock,2828,115,140,130,55,55,40
66,Gyarados,water/flying,2350,95,125,79,60,100,81
67,Gouging Fire,fire/dragon,5900,105,115,121,65,93,91
68,Toxapex,poison/water,145,50,63,152,53,142,35
69,Tsareena,grass,214,72,120,98,50,98,72
70,Basculegion,water/ghost,1100,120,112,65,80,75,78
71,Cresselia,psychic,856,120,70,110,75,120,85
72,Wo-Chien,dark/grass,742,85,85,100,95,135,70
73,Archaludon,steel/dragon,600,90,105,130,125,65,85
74,Kingambit,dark/steel,1200,100,135,120,60,85,50
75,Dialga-Origin,steel/dragon,8487,100,100,120,150,120,90
76,Talonflame,fire/flying,245,78,81,71,74,69,126
77,Ogerpon,grass,398,80,120,84,60,96,110
78,Mienshao,fighting,355,65,125,60,95,60,105
79,Araquanid,water/bug,820,68,70,92,50,132,42
80,Raichu,electric,300,60,90,55,90,80,110
81,Hitmontop,fighting,480,50,95,95,35,110,70
82,Necrozma-Dusk-Mane,psychic/steel,4600,97,157,127,113,109,77
83,Jumpluff,grass/flying,30,75,55,70,55,95,110
84,Ninetales-Alola,ice/fairy,199,73,67,75,81,100,109
85,Pawmot,electric/fighting,410,70,115,70,70,60,105
86,Lilligant-Hisui,grass/fighting,192,70,105,75,50,75,105
87,Palkia,water/dragon,3360,90,120,100,150,120,100
88,Gothitelle,psychic,440,70,55,95,95,110,65
89,Kyurem-White,dragon/ice,3250,125,120,90,170,100,95
90,Comfey,fairy,3,51,52,90,82,110,100
91,Tyranitar,rock/dark,2020,100,134,110,95,100,61
92,Umbreon,dark,270,95,65,110,60,130,65
93,Gallade,psychic/fighting,520,68,125,65,65,115,80
94,Oranguru,normal/psychic,760,90,60,80,90,110,60
95,Heatran,fire/steel,4300,91,90,106,130,106,77
96,Reshiram,dragon/fire,3300,100,120,100,150,120,90
97,Gholdengo,steel/ghost,300,87,60,95,133,91,84
98,Regidrago,dragon,2000,200,100,50,100,50,80
99,Giratina-Origin,ghost/dragon,6500,150,120,100,120,100,90
100,Overqwil,dark/poison,605,85,115,95,65,65,85
101,Porygon2,normal,325,85,80,90,105,95,60
102,Iron Moth,fire/poison,360,80,70,60,140,110,110
103,Mimikyu,ghost/fairy,7,55,90,80,50,105,96
104,Iron Crown,steel/psychic,1560,90,72,100,122,108,98
105,Venusaur,grass/poison,1000,80,82,83,100,100,80
106,Pikachu,electric,60,35,55,40,50,50,90
107,Indeedee,psychic/normal,280,60,65,55,105,95,95
108,Tinkaton,fairy/steel,1128,85,75,77,70,105,94
109,Armarouge,fire/psychic,850,85,60,100,125,80,75
110,Drifblim,ghost/flying,150,150,80,44,90,54,80
111,Ceruledge,fire/ghost,620,75,125,80,60,100,85
112,Hatterene,psychic/fairy,51,57,90,95,136,103,29
113,Rhydon,ground/rock,1200,105,130,120,45,45,40
114,Flamigo,flying/fighting,370,82,115,74,75,64,90
115,Palkia-Origin,water/dragon,6590,90,100,100,150,120,120
116,Okidogi,poison/fighting,922,88,128,115,58,86,80
117,Zoroark-Hisui,normal/ghost,730,55,100,60,125,60,110
118,Suicune,water,1870,100,75,115,90,115,85
119,Moltres-Galar,dark/flying,660,90,85,90,100,125,90
120,Excadrill,ground/steel,404,110,135,60,50,65,88
121,Muk-Alola,poison/dark,520,105,105,75,65,100,50
122,Weezing,poison,95,65,90,120,85,70,60
123,Lugia,psychic/flying,2160,106,90,130,90,154,110
124,Solgaleo,psychic/steel,2300,137,137,107,113,89,97
125,Zapdos-Galar,fighting/flying,582,90,125,90,85,90,100
126,Primarina,water/fairy,440,80,74,74,126,116,60
127,Iron Boulder,rock/psychic,1625,90,120,80,68,108,124
128,Charizard,fire/flying,905,78,84,78,109,85,100
129,Murkrow,dark/flying,21,60,85,42,85,42,91
130,Bronzong,steel/psychic,1870,67,89,116,79,116,33
131,Electabuzz,electric,300,65,83,57,95,85,105
132,Zamazenta,fighting,2100,92,120,115,80,115,138
133,Hariyama,fighting,2538,144,120,60,40,60,50
134,Mandibuzz,dark/flying,395,110,65,105,55,95,80
135,Garganacl,rock,2400,100,100,130,45,90,35
136,Mewtwo,psychic,1220,106,110,90,154,90,130
137,Munkidori,poison/psychic,122,88,75,66,130,90,106
138,Zapdos,electric/flying,526,90,90,85,125,90,100
139,Alcremie,fairy,5,65,60,75,110,121,64
140,Snorlax,normal,4600,160,110,65,65,110,30
141,Goodra-Hisui,steel/dragon,3341,80,100,100,110,150,60
142,Iron Leaves,grass/psychic,1250,90,130,88,70,108,104
143,Dragapult,dragon/ghost,500,88,120,75,100,75,142
144,Sandy Shocks,electric/ground,600,85,81,97,121,85,101
145,Regigigas,normal,4200,110,160,110,80,110,100
146,Bastiodon,rock/steel,1495,60,52,168,47,138,30
147,Kyurem-Black,dragon/ice,3250,125,170,100,120,90,95
148,Thundurus-Therian,electric/flying,610,79,105,70,145,80,101
149,Dialga,steel/dragon,6830,100,120,120,150,100,90
150,Scizor,bug/steel,1180,70,130,100,55,80,65
151,Slither Wing,bug/fighting,920,85,135,79,85,105,81
152,Klefki,steel/fairy,30,57,80,91,80,87,75
153,Chandelure,ghost/fire,343,60,55,90,145,90,80
154,Ludicolo,water/grass,550,80,70,70,90,100,70
155,Arcanine-Hisui,fire/rock,1680,95,115,80,95,80,90
156,Dusclops,ghost,306,40,70,130,60,130,25
157,Milotic,water,1620,95,60,79,100,125,81
158,Politoed,water,339,90,75,75,90,100,70
159,Enamorus-Therian,fairy/flying,480,74,115,110,135,100,46
160,Electrode-Hisui,electric/grass,710,60,50,70,80,80,150
161,Moltres,fire/flying,600,90,100,90,125,85,90
162,Zekrom,dragon/electric,3450,100,150,120,120,100,90
163,Mamoswine,ice/ground,2910,110,130,80,70,60,80
164,Metagross,steel/psychic,5500,80,135,130,95,90,70
165,Raichu-Alola,electric/psychic,210,60,85,50,95,85,110
166,Yanmega,bug/flying,515,86,76,86,116,56,95
167,Giratina,ghost/dragon,7500,150,100,120,100,120,90
168,Meowstic,psychic,85,74,48,76,83,81,104
169,Frosmoth,ice/bug,420,70,65,60,125,90,65
170,Toxicroak,poison/fighting,444,83,106,65,86,65,85
171,Typhlosion-Hisui,fire/ghost,698,73,84,78,119,85,95
172,Scovillain,grass/fire,150,65,108,65,108,65,75
173,Latios,dragon/psychic,600,80,90,80,130,110,110
174,Riolu,fighting,202,40,70,40,35,40,60
175,Slowking,water/psychic,795,95,75,80,100,110,30
176,Arcanine,fire,1550,90,110,80,100,80,95
177,Illumise,bug,177,65,47,75,73,85,85
178,Golem-Alola,rock/electric,3160,80,120,130,55,65,45
179,Medicham,fighting/psychic,315,60,60,75,60,75,80
180,Exeggutor,grass/psychic,1200,95,95,85,125,75,55
181,palafin-zero,water,602,100,70,72,53,62,100
182,palafin-hero,water,974,100,160,97,106,87,100
183,Garchomp,dragon/ground,950,108,130,95,80,85,102
184,Swampert,water/ground,819,100,110,90,85,90,60
185,Meowscarada,grass/dark,312,76,110,70,81,70,123
186,Sylveon,fairy,235,95,65,65,110,130,60
187,Bruxish,water/psychic,190,68,105,70,70,70,92
188,Pachirisu,electric,39,60,45,70,45,90,95
189,Stonjourner,rock,5200,100,125,135,20,20,70
190,Great Tusk,ground/fighting,3200,115,131,131,53,53,87
191,Magmar,fire,445,65,95,57,100,85,93
192,Sceptile,grass,522,70,85,65,105,85,120
193,Sewaddle,bug/grass,25,45,53,70,40,60,42
194,Malamar,dark/psychic,470,86,92,88,68,75,73
195,Baxcalibur,dragon/ice,2100,115,145,92,75,86,87
196,Greninja,water/dark,400,72,95,67,103,71,122
197,Breloom,grass/fighting,392,60,130,80,60,60,70
198,Shiftry,grass/dark,596,90,100,60,90,60,80
199,Wyrdeer,normal/psychic,951,103,105,72,105,75,65
200,Glastrier,ice,8000,100,145,130,65,110,30
201,Clefable,fairy,400,95,70,73,95,90,60
202,Articuno,ice/flying,554,90,85,100,95,125,85
203,Electivire,electric,1386,75,123,67,95,85,95
204,Kingdra,water/dragon,1520,75,95,95,95,95,85
205,Espathra,psychic,900,95,60,60,101,60,105
206,Rabsca,bug/psychic,35,75,50,85,115,100,45
207,Vivillon,bug/flying,170,80,52,50,90,50,89
208,Scrafty,dark/fighting,300,65,90,115,45,115,58
209,Weavile,dark/ice,340,70,120,65,45,85,125
210,Salamence,dragon/flying,1026,95,135,80,110,80,100
211,Jigglypuff,normal/fairy,55,115,45,20,45,25,20
212,Slowking-Galar,poison/psychic,795,95,65,80,110,110,30
213,Cobalion,steel/fighting,2500,91,90,129,90,72,108
214,Hydreigon,dark/dragon,1600,92,105,90,125,90,98
215,Terrakion,rock/fighting,2600,91,129,90,72,90,108
216,Enamorus,fairy/flying,480,74,115,70,135,80,106
217,Chesnaught,grass/fighting,900,88,107,122,74,75,64
218,Corviknight,flying/steel,750,98,87,105,53,85,67
219,Bisharp,dark/steel,700,65,125,100,60,70,70
220,Skeledirge,fire/ghost,3265,104,75,100,110,75,66
221,Slowbro,water/psychic,785,95,75,110,100,80,30
222,Golduck,water,766,80,82,78,95,80,85
223,Zacian,fairy,1100,92,120,115,80,115,138
224,Blastoise,water,855,79,83,100,85,105,78
225,Blaziken,fire/fighting,520,80,120,70,110,70,80
226,Articuno-Galar,psychic/flying,509,90,85,85,125,100,95
227,Thwackey,grass,140,70,85,70,55,60,80
228,Hydrapple,grass/dragon,930,106,80,110,120,80,44
229,Orthworm,steel,3100,70,85,145,60,55,65
230,Cyclizar,dragon/normal,630,70,95,65,85,65,121
231,Grafaiai,poison/normal,272,63,95,65,80,72,110
232,Toedscruel,ground/grass,580,80,70,65,80,120,100
233,Torterra,grass/ground,3100,95,109,105,75,85,56
234,Regirock,rock,2300,80,100,200,50,100,50
235,Kommo-o,dragon/fighting,782,75,110,125,100,105,85
236,Magnezone,electric/steel,1800,70,70,115,130,90,60
237,Krookodile,ground/dark,963,95,117,80,65,70,92
238,Beartic,ice,2600,95,130,80,70,80,50
239,Alomomola,water,316,165,75,80,40,45,65
240,Lilligant,grass,163,70,60,75,110,75,90
241,Gardevoir,psychic/fairy,484,68,65,65,125,115,80
242,Dudunsparce,normal,392,125,100,80,85,75,55
243,Sentret,normal,60,35,46,34,35,45,20
244,Ninetales,fire,199,73,76,75,81,100,100
245,Clodsire,poison/ground,2230,130,75,60,45,100,20
246,Conkeldurr,fighting,870,105,140,95,55,65,45
247,Galvantula,bug/electric,143,70,77,60,97,60,108
248,Azumarill,water/fairy,285,100,50,80,60,80,50
249,Altaria,dragon/flying,206,75,70,90,70,105,80
250,Kilowattrel,electric/flying,386,70,70,60,105,60,125
251,Fezandipiti,poison/fairy,301,88,91,82,70,125,99
