 Total battles: 1362956
 Avg. weight/team: 0.004
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Urshifu-Rapid-Strike | 51.16472% | 1004693 | 36.857% | 411206 | 33.315% | 
 | 2    | Incineroar         | 27.48932% | 954294 | 35.008% | 482013 | 39.052% | 
 | 3    | Calyrex-Ice        | 26.41993% | 390163 | 14.313% | 235420 | 19.073% | 
 | 4    | Raging Bolt        | 22.90132% | 439381 | 16.119% | 156677 | 12.694% | 
 | 5    | Ogerpon-Hearthflame | 21.60013% | 397081 | 14.567% | 163436 | 13.241% | 
 | 6    | Landorus           | 18.77235% | 332861 | 12.211% | 139526 | 11.304% | 
 | 7    | Miraidon           | 18.27488% | 414415 | 15.203% | 287082 | 23.259% | 
 | 8    | Iron Hands         | 17.79144% | 384463 | 14.104% | 180404 | 14.616% | 
 | 9    | Rillaboom          | 17.63199% | 570030 | 20.912% | 236143 | 19.132% | 
 | 10   | Amoonguss          | 17.41009% | 526329 | 19.308% | 197741 | 16.021% | 
 | 11   | Farigiraf          | 17.11382% | 495540 | 18.179% | 171914 | 13.928% | 
 | 12   | Whimsicott         | 16.21549% | 440024 | 16.142% | 161150 | 13.056% | 
 | 13   | Chien-Pao          | 16.11730% | 326333 | 11.972% | 150598 | 12.201% | 
 | 14   | Indeedee-F         | 16.02520% | 391198 | 14.351% | 184199 | 14.923% | 
 | 15   | Calyrex-Shadow     | 15.94078% | 411435 | 15.093% | 253590 | 20.545% | 
 | 16   | Flutter Mane       | 15.82274% | 573881 | 21.053% | 257613 | 20.871% | 
 | 17   | Ogerpon-Cornerstone | 14.62374% | 225666 |  8.279% | 95172  |  7.711% | 
 | 18   | Tornadus           | 14.42752% | 458972 | 16.837% | 165873 | 13.439% | 
 | 19   | Grimmsnarl         | 11.37950% | 139656 |  5.123% | 59121  |  4.790% | 
 | 20   | Urshifu            | 11.17017% | 283208 | 10.389% | 126460 | 10.246% | 
 | 21   | Smeargle           | 11.03781% | 122525 |  4.495% | 58131  |  4.710% | 
 | 22   | Chi-Yu             | 10.88389% | 250432 |  9.187% | 107839 |  8.737% | 
 | 23   | Kyogre             | 10.25077% | 287364 | 10.542% | 189530 | 15.355% | 
 | 24   | Dragonite          |  7.89804% | 109033 |  4.000% | 46201  |  3.743% | 
 | 25   | Dondozo            |  7.83391% | 109840 |  4.029% | 52949  |  4.290% | 
 | 26   | Terapagos          |  7.47376% | 144690 |  5.308% | 85869  |  6.957% | 
 | 27   | Tatsugiri          |  6.96402% | 90004  |  3.302% | 45188  |  3.661% | 
 | 28   | Ting-Lu            |  6.37830% | 67893  |  2.491% | 27543  |  2.231% | 
 | 29   | Ursaluna-Bloodmoon |  6.01555% | 135298 |  4.963% | 59728  |  4.839% | 
 | 30   | Roaring Moon       |  5.91380% | 158556 |  5.817% | 51802  |  4.197% | 
 | 31   | Pelipper           |  5.90383% | 145959 |  5.355% | 58549  |  4.744% | 
 | 32   | Zamazenta-Crowned  |  5.86139% | 138617 |  5.085% | 84088  |  6.813% | 
 | 33   | Ogerpon-Wellspring |  5.65377% | 151095 |  5.543% | 55498  |  4.496% | 
 | 34   | Torkoal            |  5.04044% | 123729 |  4.539% | 56497  |  4.577% | 
 | 35   | Koraidon           |  4.38005% | 264025 |  9.686% | 166304 | 13.474% | 
